,Query_num,query,model_type,NF,preference_type,MOO_method,opt_acc,opt_cost,opt_mem,comp_time,work,output_flag
8970,2,"[['skateboard', 'dog', 'baseball_glove'], ['skis']]",OrderOpt,CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,0.854637558,23.177,18895,2808.364868,0.118892632,2
8971,2,"[['skateboard', 'dog', 'baseball_glove'], ['skis']]",ModelOpt,CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,0.856805553,30,16500,266.9143677,0.004164546,2
8972,2,"[['skateboard', 'dog', 'baseball_glove'], ['skis']]",OrderOpt,CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,0.854637558,23.177,18895,2854.719162,0.123297685,2
8973,2,"[['skateboard', 'dog', 'baseball_glove'], ['skis']]",ModelOpt,CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,0.856805553,30,16500,705.5950165,0.004154251,2
8974,2,"[['skateboard', 'dog', 'baseball_glove'], ['skis']]",OrderOpt,CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,0.854637558,23.177,18895,2431.671143,0.103235606,2
8975,2,"[['skateboard', 'dog', 'baseball_glove'], ['skis']]",ModelOpt,CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_sum,0.856805553,30,16500,470.4875946,0.004140363,2
8976,2,"[['skateboard', 'dog', 'baseball_glove'], ['skis']]",OrderOpt,CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_sum,0.854637558,23.177,18895,2102.186203,0.11076823,2
8977,2,"[['skateboard', 'dog', 'baseball_glove'], ['skis']]",ModelOpt,CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_sum,0.856805553,30,16500,250.9002686,0.004138857,2
8978,2,"[['skateboard', 'dog', 'baseball_glove'], ['skis']]",OrderOpt,CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_sum,0.854637558,23.177,18895,2847.866058,0.120190205,2
9088,2,"[['skateboard', 'dog', 'baseball_glove'], ['skis']]",ModelOpt,DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,0.876477503,30,16500,627.5730133,0.003608939,2
9089,2,"[['skateboard', 'dog', 'baseball_glove'], ['skis']]",OrderOpt,DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,0.876003989,23.0008673,18895,3530.576706,0.142216363,2
9090,2,"[['skateboard', 'dog', 'baseball_glove'], ['skis']]",ModelOpt,DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,0.876477503,30,16500,721.2619781,0.003608189,2
9091,2,"[['skateboard', 'dog', 'baseball_glove'], ['skis']]",OrderOpt,DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,0.876003989,23.0008673,18895,3310.016632,0.153665153,2
9092,2,"[['skateboard', 'dog', 'baseball_glove'], ['skis']]",ModelOpt,DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,0.876477503,30,16500,439.2299652,0.00360817,2
9093,2,"[['skateboard', 'dog', 'baseball_glove'], ['skis']]",OrderOpt,DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,0.876384194,23.177,18895,3200.181961,0.135000256,2
9094,2,"[['skateboard', 'dog', 'baseball_glove'], ['skis']]",ModelOpt,DNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,0.876477503,30,16500,831.0642242,0.003599146,2
9095,2,"[['skateboard', 'dog', 'baseball_glove'], ['skis']]",OrderOpt,DNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,0.876003989,23.0008673,18895,2996.135712,0.128810691,2
9096,2,"[['skateboard', 'dog', 'baseball_glove'], ['skis']]",ModelOpt,DNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_sum,0.876477503,30,16500,156.6905975,0.003599146,2
9097,2,"[['skateboard', 'dog', 'baseball_glove'], ['skis']]",OrderOpt,DNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_sum,0.876003989,23.0008673,18895,2164.747238,0.141284767,2
9098,2,"[['skateboard', 'dog', 'baseball_glove'], ['skis']]",ModelOpt,DNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_sum,0.876477503,30,16500,407.4649811,0.003599146,2
9099,2,"[['skateboard', 'dog', 'baseball_glove'], ['skis']]",OrderOpt,DNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_sum,0.876003989,23.0008673,18895,2080.308914,0.148433089,2
9209,3,"[['couch', 'skis'], ['fork', 'apple']]",ModelOpt,CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,0.831386885,117,274095,2494.047165,0.007390698,2
9210,3,"[['couch', 'skis'], ['fork', 'apple']]",OrderOpt,CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,0.840411373,23.1982175,579050,5741.695404,0.127878032,2
9211,3,"[['couch', 'skis'], ['fork', 'apple']]",ModelOpt,CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,0.723544307,33,27195,1929.937363,0.006139678,2
9212,3,"[['couch', 'skis'], ['fork', 'apple']]",OrderOpt,CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,0.827856959,23.1768845,276490,3216.030121,0.109296488,2
9213,3,"[['couch', 'skis'], ['fork', 'apple']]",ModelOpt,CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,0.831386885,117,274095,1459.547043,0.004325243,2
9214,3,"[['couch', 'skis'], ['fork', 'apple']]",OrderOpt,CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,0.827856959,23.1768845,276490,3514.58931,0.122312317,2
9215,3,"[['couch', 'skis'], ['fork', 'apple']]",ModelOpt,CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,0.804466348,117,73285,2101.762772,0.006221439,2
9216,3,"[['couch', 'skis'], ['fork', 'apple']]",OrderOpt,CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,0.804466348,23.17720755,73285,4361.232758,0.123270896,2
9217,3,"[['couch', 'skis'], ['fork', 'apple']]",ModelOpt,CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_sum,0.723544308,33,27195,1474.681854,0.004473169,2
