,query,NF,preference_type,MOO_method,zoo,trial,comp_time,work,output_flag
26,"[['skis', 'cat', 'bird'], ['horse', 'truck'], ['bed']]",DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,COCO,0,67.36421585083008,0.015367472171830978,2
27,"[['bicycle'], ['donut', 'baseball_bat'], ['elephant'], ['apple'], ['bus']]",DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,COCO,0,130.84053993225098,0.02513660211057195,2
28,"[['sports_ball', 'kite', 'pizza'], ['umbrella'], ['suitcase', 'skateboard']]",DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,COCO,0,69.32806968688965,0.016568235776103207,2
29,"[['fire_hydrant', 'tennis_racket', 'kite'], ['pizza', 'tie'], ['cup']]",DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,COCO,0,58.23779106140137,0.01431311393379071,2
30,"[['loc'], ['positive', 'society'], ['entertainment', 'business', 'per']]",DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,tweet,0,66.04218482971191,0.0056311301159145365,2
31,"[['computers'], ['per', 'society', 'science'], ['health'], ['negative']]",DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,tweet,0,211.7900848388672,0.02057713558685975,2
32,"[['health', 'per'], ['family', 'computers'], ['politics'], ['entertainment']]",DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,tweet,0,72.06320762634277,0.007953638019896653,2
33,"[['family', 'science', 'negative'], ['positive'], ['education'], ['org']]",DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,tweet,0,235.0611686706543,0.023693108442850105,2
34,"[['misc'], ['society', 'entertainment'], ['loc', 'education'], ['computers']]",DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,tweet,0,265.5298709869385,0.01656563727921195,2
35,"[['health', 'computers'], ['negative'], ['science'], ['neutral', 'society']]",DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,tweet,0,123.95095825195312,0.012577637665070486,2
