,query,NF,preference_type,MOO_method,model_selection,model_ordering,num_pred,opt_acc,opt_cost,opt_mem,comp_time,work,output_flag,actual_cost,actual_f1
27,( bottle | tv ) & ( chair ),CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,"{'bottle': 'model_16', 'tv': 'model_16', 'chair': 'model_16'}","['bottle', 'tv', 'chair']",3,0.794581216,18,142909075,13.00096512,0.007291799,2,18,0.745
28,( bottle | tv ) & ( chair ),CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_sum,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",3,0.604484608,16,44347377,13.9605999,0.007456224,2,16,0.069
29,( bottle | tv ) & ( chair ),CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_sum,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",3,0.604484608,16,44347377,15.99645615,0.007491815,2,16,0.069
30,( bottle | tv ) & ( chair ),CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",lexicographic,"{'bottle': 'model_16', 'tv': 'model_11', 'chair': 'model_11'}","['bottle', 'tv', 'chair']",3,0.811774512,42,705967558,2.035617828,0.000868553,2,42,0.745
31,( bottle | tv ) & ( chair ),CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",lexicographic,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",3,0.604484608,16,44347377,0,0.000143466,2,16,0.069
32,( bottle | tv ) & ( chair ),CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",lexicographic,"{'bottle': 'model_16', 'tv': 'model_11', 'chair': 'model_11'}","['bottle', 'tv', 'chair']",3,0.811774512,42,705967558,2.999782562,0.00087201,2,42,0.745
33,( bottle | tv ) & ( chair ),CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",lexicographic,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",3,0.604484608,16,44347377,0,0.000143466,2,16,0.069
34,( bottle | tv ) & ( chair ),CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",lexicographic,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",3,0.604484608,16,44347377,0,0.000361635,2,16,0.069
35,( bottle | tv ) & ( chair ),CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",lexicographic,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",3,0.604484608,16,44347377,0.98156929,0.000361635,2,16,0.069
36,( bottle | tv ) & ( chair ),CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_min_max,"{'bottle': 'model_16', 'tv': 'model_16', 'chair': 'model_16'}","['bottle', 'tv', 'chair']",3,0.794581216,18,142909075,9.997844696,0.004740544,2,18,0.745
