,query,NF,preference_type,MOO_method,model_selection,model_ordering,opt_acc,opt_cost,opt_mem,comp_time,work,output_flag
26,( bottle | tv ) & ( chair ),CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,"{'bottle': 'model_16', 'tv': 'model_16', 'chair': 'model_16'}","['bottle', 'tv', 'chair']",0.7945812160000169,18.0,142909075.0,13.995885848999023,0.007429351039202999,2
27,( bottle | tv ) & ( chair ),CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,"{'bottle': 'model_16', 'tv': 'model_16', 'chair': 'model_16'}","['bottle', 'tv', 'chair']",0.794581216000002,18.0,142909075.0,13.000965118408203,0.007291799336499986,2
28,( bottle | tv ) & ( chair ),CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_sum,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",0.6044846080000861,16.0,44347377.0,13.960599899291992,0.0074562237233215135,2
29,( bottle | tv ) & ( chair ),CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_sum,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",0.6044846080000861,16.0,44347377.0,15.996456146240234,0.00749181499763013,2
30,( bottle | tv ) & ( chair ),CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",lexicographic,"{'bottle': 'model_16', 'tv': 'model_11', 'chair': 'model_11'}","['bottle', 'tv', 'chair']",0.8117745119999998,42.0,705967558.0,2.0356178283691406,0.0008685526554144216,2
31,( bottle | tv ) & ( chair ),CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",lexicographic,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",0.604484608,16.0,44347377.0,0.0,0.00014346567567567568,2
32,( bottle | tv ) & ( chair ),CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",lexicographic,"{'bottle': 'model_16', 'tv': 'model_11', 'chair': 'model_11'}","['bottle', 'tv', 'chair']",0.8117745119999998,42.0,705967558.0,2.9997825622558594,0.0008720095091181239,2
33,( bottle | tv ) & ( chair ),CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",lexicographic,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",0.604484608,16.0,44347377.0,0.0,0.00014346567567567568,2
34,( bottle | tv ) & ( chair ),CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",lexicographic,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",0.604484608,15.999999999999886,44347377.0,0.0,0.0003616353618010723,2
35,( bottle | tv ) & ( chair ),CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",lexicographic,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",0.604484608,15.999999999999886,44347377.0,0.9815692901611328,0.0003616353618010723,2
36,( bottle | tv ) & ( chair ),CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_min_max,"{'bottle': 'model_16', 'tv': 'model_16', 'chair': 'model_16'}","['bottle', 'tv', 'chair']",0.794581216000002,18.0,142909075.0,9.997844696044922,0.004740544011224636,2
37,( bottle | tv ) & ( chair ),CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_min_max,"{'bottle': 'model_16', 'tv': 'model_16', 'chair': 'model_16'}","['bottle', 'tv', 'chair']",0.794581216000002,18.0,142909075.0,9.999990463256836,0.004589258305403377,2
38,( bottle | tv ) & ( chair ),CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_min_max,"{'bottle': 'model_16', 'tv': 'model_16', 'chair': 'model_16'}","['bottle', 'tv', 'chair']",0.794581216000002,18.0,142909075.0,15.000581741333008,0.0062054351832443845,2
39,( bottle | tv ) & ( chair ),CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_min_max,"{'bottle': 'model_16', 'tv': 'model_16', 'chair': 'model_16'}","['bottle', 'tv', 'chair']",0.794581216000002,18.0,142909075.0,16.96610450744629,0.007553469576561444,2
40,( bottle | tv ) & ( chair ),CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_min_max,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",0.6044846079999995,16.0,44347377.0,14.986753463745117,0.0075341346981850485,2
41,( bottle | tv ) & ( chair ),CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_min_max,"{'bottle': 'model_16', 'tv': 'model_16', 'chair': 'model_16'}","['bottle', 'tv', 'chair']",0.7945812160000048,18.0,142909075.0,16.963720321655273,0.005339591948797151,2
42,( bottle | tv ) & ( chair ),CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",greedy_MOO,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",0.6044846079999994,16.0,44347377.0,8.010149002075195,0.005373566970934871,2
43,( bottle | tv ) & ( chair ),CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",greedy_MOO,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",0.6044846079999994,16.0,44347377.0,7.997274398803711,0.005373566970934871,2
44,( bottle | tv ) & ( chair ),CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",greedy_MOO,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",0.6044846079999994,16.0,44347377.0,8.994817733764648,0.005373566970934871,2
45,( bottle | tv ) & ( chair ),CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",greedy_MOO,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",0.6044846079999994,16.0,44347377.0,9.003639221191406,0.005373566970934871,2
46,( bottle | tv ) & ( chair ),CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",greedy_MOO,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",0.6044846079999994,16.0,44347377.0,7.963418960571289,0.005373566970934871,2
47,( bottle | tv ) & ( chair ),CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",greedy_MOO,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",0.6044846079999994,16.0,44347377.0,8.00013542175293,0.005373566970934871,2
48,( person | dog ) & ( dining_table | couch ),CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",0.950309961707999,18.0,142909075.0,14.997243881225586,0.009434764288188,2
49,( person | dog ) & ( dining_table | couch ),CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",0.9503099617080044,18.0,142909075.0,16.962766647338867,0.009423294533642544,2
50,( person | dog ) & ( dining_table | couch ),CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",0.9503099617080044,18.0,142909075.0,16.00170135498047,0.009423751533642543,2
51,( person | dog ) & ( dining_table | couch ),CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",0.9503099617080204,18.0,142909075.0,14.000892639160156,0.009423430321521344,2
52,( person | dog ) & ( dining_table | couch ),CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_sum,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",0.9503099617080202,18.0,142909075.0,13.963699340820312,0.009423430321521344,2
53,( person | dog ) & ( dining_table | couch ),CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_sum,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",0.9503099617079975,18.0,142909075.0,14.985084533691406,0.009408429554854663,2
54,( person | dog ) & ( dining_table | couch ),CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",lexicographic,"{'person': 'model_11', 'dog': 'model_11', 'dining_table': 'model_11', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",0.9551132929599997,42.0,705967558.0,5.998849868774414,0.0013025095582595095,2
55,( person | dog ) & ( dining_table | couch ),CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",lexicographic,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",0.9503099617079998,17.999999999999886,142909075.0,1.001119613647461,0.0005419609189189189,2
56,( person | dog ) & ( dining_table | couch ),CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",lexicographic,"{'person': 'model_11', 'dog': 'model_11', 'dining_table': 'model_11', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",0.9551132929599997,42.0,705967558.0,2.9964447021484375,0.0012394411904817332,2
57,( person | dog ) & ( dining_table | couch ),CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",lexicographic,"{'person': 'model_71', 'dog': 'model_71', 'dining_table': 'model_71', 'couch': 'model_71'}","['person', 'dog', 'dining_table', 'couch']",0.9115958380199998,86.0,135686683.0,15.005350112915039,0.007082287318696078,2
58,( person | dog ) & ( dining_table | couch ),CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",lexicographic,"{'person': 'model_66', 'dog': 'model_66', 'dining_table': 'model_66', 'couch': 'model_66'}","['person', 'dog', 'dining_table', 'couch']",0.9107959761249999,85.0,135686683.0,12.996912002563477,0.006858147716777091,2
