,Query_num,query,model_type,NF,preference_type,num_pred,MOO_method,opt_acc,opt_cost,opt_mem,comp_time,output_flag
28,0,"[['spoon'], ['handbag']]",model_opt,CNF,"[['memory_norm', 'cost_norm'], 'acc_loss_norm']",2,weighted_sum,0.372695,131.0,684775.0,15.63119888305664,2
29,0,"[['spoon'], ['handbag']]",model_opt,DNF,"[['memory_norm', 'cost_norm'], 'acc_loss_norm']",2,weighted_sum,0.7884740000000047,30.0,16500.0,16.09635353088379,2
30,0,"[['spoon'], ['handbag']]",order_opt,CNF,"[['memory_norm', 'cost_norm'], 'acc_loss_norm']",2,weighted_sum,0.372695,54.01663893,684775.0,47.353506088256836,2
31,0,"[['spoon'], ['handbag']]",order_opt,DNF,"[['memory_norm', 'cost_norm'], 'acc_loss_norm']",2,weighted_sum,0.8154250000000001,23.370029059999975,182575.0,62.981605529785156,2
32,0,"[['spoon'], ['handbag']]",model_opt,CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",2,lexicographic,0.372695,131.0,684775.0,15.629768371582031,2
33,0,"[['spoon'], ['handbag']]",model_opt,DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",2,lexicographic,0.74962,22.999999999999545,2395.0,31.26239776611328,2
34,0,"[['spoon'], ['handbag']]",order_opt,CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",2,lexicographic,0.372695,54.01663893,684775.0,43.34282875061035,2
35,0,"[['spoon'], ['handbag']]",order_opt,DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",2,lexicographic,0.7496200000000001,23.0,2395.0,62.50476837158203,2
36,0,"[['spoon'], ['handbag']]",model_opt,CNF,"[['memory_norm', 'cost_norm', 'acc_loss_norm']]",2,lexicographic,0.372695,131.0,684775.0,15.621662139892578,2
37,0,"[['spoon'], ['handbag']]",model_opt,DNF,"[['memory_norm', 'cost_norm', 'acc_loss_norm']]",2,lexicographic,0.74962,22.999999999999545,2395.0,15.627384185791016,2
38,0,"[['spoon'], ['handbag']]",order_opt,CNF,"[['memory_norm', 'cost_norm', 'acc_loss_norm']]",2,lexicographic,0.372695,54.01663893,684775.0,46.883583068847656,2
39,0,"[['spoon'], ['handbag']]",order_opt,DNF,"[['memory_norm', 'cost_norm', 'acc_loss_norm']]",2,lexicographic,0.7496200000000001,23.0,2395.0,62.97016143798828,2
40,0,"[['spoon'], ['handbag']]",model_opt,CNF,"['memory_norm', ['cost_norm', 'acc_loss_norm']]",2,lexicographic,0.372695,131.0,684775.0,15.622854232788086,2
41,0,"[['spoon'], ['handbag']]",model_opt,DNF,"['memory_norm', ['cost_norm', 'acc_loss_norm']]",2,lexicographic,0.74962,22.999999999999545,2395.0,16.08753204345703,2
42,0,"[['spoon'], ['handbag']]",order_opt,CNF,"['memory_norm', ['cost_norm', 'acc_loss_norm']]",2,lexicographic,0.372695,54.01663893,684775.0,47.388315200805664,2
43,0,"[['spoon'], ['handbag']]",order_opt,DNF,"['memory_norm', ['cost_norm', 'acc_loss_norm']]",2,lexicographic,0.7496200000000001,23.0,2395.0,57.97243118286133,2
44,0,"[['spoon'], ['handbag']]",model_opt,CNF,"[['memory_norm', 'cost_norm'], 'acc_loss_norm']",2,lexicographic,0.372695,131.0,684775.0,31.710386276245117,2
45,0,"[['spoon'], ['handbag']]",model_opt,DNF,"[['memory_norm', 'cost_norm'], 'acc_loss_norm']",2,lexicographic,0.74962,22.999999999999545,2395.0,15.625476837158203,2
46,0,"[['spoon'], ['handbag']]",order_opt,CNF,"[['memory_norm', 'cost_norm'], 'acc_loss_norm']",2,lexicographic,0.372695,54.01663893,684775.0,46.92983627319336,2
47,0,"[['spoon'], ['handbag']]",order_opt,DNF,"[['memory_norm', 'cost_norm'], 'acc_loss_norm']",2,lexicographic,0.7496200000000001,23.0,2395.0,62.50405311584473,2
48,0,"[['spoon'], ['handbag']]",model_opt,CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",2,weighted_min_max,0.372695,131.0,684775.0,15.63119888305664,2
